URL,contains_software_set,Num_sw_records,Error
pure.hud.ac.uk/ws/oai,No,0.0,Bad Argument Error
writtle.repository.guildhe.ac.uk/cgi/oai2,No,0.0,No error
bura.brunel.ac.uk/oai/request,No,0.0,No error
chesterrep.openrepository.com/oai/request,No,0.0,No error
www.cl.cam.ac.uk/techreports/UCAM-CL-TR-OAI-SR.xml,No,0.0,No error
cronfa.swan.ac.uk/OAI/Server,No,50407.0,No error
www.dora.dmu.ac.uk/oai/request,No sets,0.0,BadVerbError
languagebox.ac.uk/cgi/oai2,No,0.0,No error
rgu-repository.worktribe.com/oaiprovider,No,0.0,404 error
napier-surface.worktribe.com/oaiprovider,No sets,0.0,BadVerbError
sas-space.sas.ac.uk/cgi/oai2,No,0.0,No error
epubs.surrey.ac.uk/cgi/oai2,No sets,0.0,OAI XML Syntax error
repository.uwtsd.ac.uk/cgi/oai2,No,0.0,No error
epapers.bham.ac.uk/cgi/oai2,No,0.0,No error
discovery.dundee.ac.uk/ws/oai,No,0.0,Bad Argument Error
eprints.hud.ac.uk/cgi/oai2,No,0.0,No error
livrepository.liverpool.ac.uk/cgi/oai2,Yes,18.0,No error
usir.salford.ac.uk/cgi/oai2,No,0.0,No error
research.edgehill.ac.uk/ws/oai,No,0.0,Bad Argument Error
researchonline.gcu.ac.uk/ws/oai,No,0.0,Bad Argument Error
pearl.plymouth.ac.uk/oai/request,No,0.0,No error
eprints.chi.ac.uk/cgi/oai2/,No sets,0.0,BadVerbError
ota.bodleian.ox.ac.uk/repository/oai/request,No,0.0,No error
kclpure.kcl.ac.uk/ws/oai,No,0.0,Bad Argument Error
eprints.esc.cam.ac.uk/cgi/oai2,No,0.0,No error
researchonline.rvc.ac.uk/cgi/oai2,No,0.0,No error
bgro.repository.guildhe.ac.uk/cgi/oai2,No,0.0,No error
lbsresearch.london.edu/cgi/oai2,No,0.0,No error
pure.ulster.ac.uk/ws/oai,No,0.0,Bad Argument Error
lau.collections.crest.ac.uk/cgi/oai2,No sets,0.0,BadVerbError
ojs.lboro.ac.uk/index/oai,No,0.0,No error
