Provider’s legal name,Provider’s trading name(s),Provider's website,Pure Add,Search string,Pure Research Outputs,Pure Software Outputs,HOST,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,,,,,
University of Worcester,Not applicable,https://www.worcester.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Wolverhampton,Not applicable,https://www.wlv.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Gloucestershire,Not applicable,https://www.glos.ac.uk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London South Bank University,LSBU,https://www.lsbu.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingston University,Not applicable,https://www.kingston.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loughborough University,Not applicable,https://www.lboro.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AECC University College,AECC,https://www.aecc.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University College of Estate Management,UCEM,https://www.ucem.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leeds Arts University,Not applicable,https://www.leeds-art.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravensbourne University London,Not applicable,https://www.ravensbourne.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solent University,Not applicable,https://www.solent.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liverpool John Moores University,Not applicable,https://www.ljmu.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Huddersfield,University of Huddersfield,https://www.hud.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Spa University,Not applicable,https://www.bathspa.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Essex,Not applicable,https://www.essex.ac.uk/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
