Name,Type,Compatibility,OAI-PMH,website
"University of Hertfordshire Research Archive",Institutional Repository,OpenAIRE 3.0 (OA funding),https://uhra.herts.ac.uk/oai/openaire,http://uhra.herts.ac.uk/
"ChesterRep",Institutional Repository,not available,,http://chesterrep.openrepository.com/cdr/
"Roehampton University Research Explorer",Institutional Repository,not available,,https://pure.roehampton.ac.uk/portal/en
"Nottingham eTheses",Institutional Repository,OpenAIRE Basic (DRIVER OA),http://eprints.nottingham.ac.uk/cgi/oai2,http://eprints.nottingham.ac.uk/etheses/
"Hopes Institutional Research Archive",Institutional Repository,not available,,http://hira.hope.ac.uk/
"ePubs: the open archive for STFC research publications",Institutional Repository,not available,,https://epubs.stfc.ac.uk/
"East Midlands Evidence Repository",Institutional Repository,not available,,https://eastmid.openrepository.com/
"Lancaster EPrints",Institutional Repository,OpenAIRE Basic (DRIVER OA),http://eprints.lancs.ac.uk/cgi/oai2,http://eprints.lancs.ac.uk/
"e-space at Manchester Metropolitan University",Institutional Repository,OpenAIRE Basic (DRIVER OA),http://e-space.mmu.ac.uk/cgi/oai2,http://www.e-space.mmu.ac.uk/
"Edge Hill Research Archive",Institutional Repository,not available,,http://repository.edgehill.ac.uk/
"Sunderland University Institutional Repository",Institutional Repository,collected from a compatible aggregator,,http://sure.sunderland.ac.uk/
"Cranfield CERES",Institutional Repository,OpenAIRE Basic (DRIVER OA),http://dspace.lib.cranfield.ac.uk/oai/request,https://dspace.lib.cranfield.ac.uk/
"University of Leicester:Special Collections Online",Institutional Repository,not available,,http://specialcollections.le.ac.uk
"Research Findings Register",Institutional Repository,not available,,http://www.refer.nhs.uk/
"HEFT Repository",Institutional Repository,not available,,http://www.repository.heartofengland.nhs.uk/
"Portsmouth Research Portal",Institutional Repository,OpenAIRE Basic (DRIVER OA),https://researchportal.port.ac.uk/ws/oai,https://researchportal.port.ac.uk/
"LSE Research Online",Institutional Repository,OpenAIRE Basic (DRIVER OA),http://eprints.lse.ac.uk/cgi/oai2,http://eprints.lse.ac.uk/
"RaY - Research at York St John",Institutional Repository,collected from a compatible aggregator,,http://ray.yorksj.ac.uk/
"DSpace at Manchester",Institutional Repository,not available,,http://dspace.man.ac.uk:8080/dspace/
"The European Jewish Research Archive",Institutional Repository,not available,,http://archive.jpr.org.uk/
"Enlighten",Institutional Repository,collected from a compatible aggregator,,http://eprints.gla.ac.uk/
"Online Research Data",Institutional Repository,not available,,https://orda.shef.ac.uk/
"NECTAR",Institutional Repository,collected from a compatible aggregator,,http://nectar.northampton.ac.uk/
"University of Worcester Research and Publications",Institutional Repository,collected from a compatible aggregator,,http://eprints.worc.ac.uk/
"Plymouth Marine Science Electronic Archive (PlyMEA)",Institutional Repository,collected from a compatible aggregator,,http://plymsea.ac.uk/
"RVC Research Online",Institutional Repository,collected from a compatible aggregator,,http://researchonline.rvc.ac.uk/
"Leeds Arts University Repository",Institutional Repository,not available,,http://lau.collections.crest.ac.uk
"Desert Island Discs: Castaway Archive and Podcasts",Institutional Repository,not available,,https://www.bbc.co.uk/programmes/b006qnmr/episodes/a-z/a
"Library and Historical Collections Digital Resources",Institutional Repository,not available,,http://digitool.abdn.ac.uk/R
"St Andrews Research Repository",Institutional Repository,OpenAIRE Basic (DRIVER OA),http://research-repository.st-andrews.ac.uk/dspace-oai/request,http://research-repository.st-andrews.ac.uk/
"ALT Open Access Repository",Institutional Repository,OpenAIRE 3.0 (OA funding),https://repository.alt.ac.uk/cgi/oai2/,http://repository.alt.ac.uk/
"ROAR at University of East London",Institutional Repository,collected from a compatible aggregator,,http://roar.uel.ac.uk/
"Bournemouth University Research Online",Institutional Repository,collected from a compatible aggregator,,http://eprints.bournemouth.ac.uk/
"Anglia Ruskin Research Online",Institutional Repository,collected from a compatible aggregator,,http://arro.anglia.ac.uk/
"Research@Leeds Trinity University",Institutional Repository,not available,,http://research.leedstrinity.ac.uk
"University of Leicesters OER Repository",Institutional Repository,not available,,http://www2.le.ac.uk/projects/oer
"English Heritage ViewFinder",Institutional Repository,not available,,http://viewfinder.english-heritage.org.uk/
"University of Hull Worktribe CRIS",Institutional Repository,not available,,https://hull-repository.worktribe.com/
"University of Bath's research portal",Institutional Repository,OpenAIRE 2.0+ (DRIVER OA EC funding),https://purehost.bath.ac.uk/ws/oai,https://researchportal.bath.ac.uk/en/home/index/
"Leeds Trinity University",Institutional Repository,not available,,http://research.leedstrinity.ac.uk/en/publications/search.html
"Edinburgh Napier Research Repository",Institutional Repository,OpenAIRE Basic (DRIVER OA),,https://napier-repository.worktribe.com/
"WestminsterResearch",Institutional Repository,collected from a compatible aggregator,,http://westminsterresearch.wmin.ac.uk/
"Winchester Research Repository",Institutional Repository,collected from a compatible aggregator,,http://repository.winchester.ac.uk/
"The University of Edinburgh Collections",Institutional Repository,not available,,http://collections.ed.ac.uk/
"MOLA Research Repository",Institutional Repository,not available,,https://mola.iro.bl.uk
